Algorithms,Algorithm_ID,DPA_METHODS,FEE_METHODS,FES_METHODS,CLF_METHODS,END_METHODS,END_TO_END_METHODS,DPA_METHODS_ID,FEE_METHODS_ID,FES_METHODS_ID,CLF_METHODS_ID,END_METHODS_ID,END_TO_END_METHODS_ID,train_score,test_score,train_time,test_time
TLDUMMY-CSP-PCA-RFC,"[0, 1, 5, 6, 0, 0]",TLDUMMY,CSP,PCA,RFC,,,0,1,5,6,0,0,1.0,0.5633333333333332,0.4016249418258667,0.19872334003448486
TLDUMMY-CSP-PCA-ETC,"[0, 1, 5, 7, 0, 0]",TLDUMMY,CSP,PCA,ETC,,,0,1,5,7,0,0,1.0,0.5755555555555556,0.3515061616897583,0.19292266368865968
TLDUMMY-CSP-PCA-ABC,"[0, 1, 5, 8, 0, 0]",TLDUMMY,CSP,PCA,ABC,,,0,1,5,8,0,0,0.85,0.5722222222222222,0.3083132028579712,0.19075801372528076
TLDUMMY-CSP-PCA-GBC,"[0, 1, 5, 9, 0, 0]",TLDUMMY,CSP,PCA,GBC,,,0,1,5,9,0,0,0.998,0.5622222222222222,0.34971497058868406,0.19523947238922118
TLDUMMY-CSP-PCA-GNB,"[0, 1, 5, 10, 0, 0]",TLDUMMY,CSP,PCA,GNB,,,0,1,5,10,0,0,0.7060000000000001,0.581111111111111,0.24021503925323487,0.18383877277374266
TLDUMMY-CSP-PCA-MLP,"[0, 1, 5, 11, 0, 0]",TLDUMMY,CSP,PCA,MLP,,,0,1,5,11,0,0,0.7966666666666667,0.6011111111111112,0.5673511981964111,0.16860241889953614
TLDUMMY-CSP-LASSO-SVM,"[0, 1, 6, 1, 0, 0]",TLDUMMY,CSP,LASSO,SVM,,,0,1,6,1,0,0,0.7919999999999999,0.5955555555555556,0.2400951623916626,0.16570701599121093
TLDUMMY-CSP-LASSO-LDA,"[0, 1, 6, 2, 0, 0]",TLDUMMY,CSP,LASSO,LDA,,,0,1,6,2,0,0,0.79,0.601111111111111,0.24291298389434815,0.1830226421356201
TLDUMMY-CSP-LASSO-LR,"[0, 1, 6, 3, 0, 0]",TLDUMMY,CSP,LASSO,LR,,,0,1,6,3,0,0,0.7933333333333333,0.6044444444444445,0.2770286321640015,0.18864741325378417
TLDUMMY-CSP-LASSO-KNN,"[0, 1, 6, 4, 0, 0]",TLDUMMY,CSP,LASSO,KNN,,,0,1,6,4,0,0,0.8286666666666667,0.5844444444444443,0.23061575889587402,0.19179997444152833
TLDUMMY-CSP-LASSO-DTC,"[0, 1, 6, 5, 0, 0]",TLDUMMY,CSP,LASSO,DTC,,,0,1,6,5,0,0,1.0,0.5444444444444445,0.22395963668823243,0.16283540725708007
TLDUMMY-CSP-LASSO-RFC,"[0, 1, 6, 6, 0, 0]",TLDUMMY,CSP,LASSO,RFC,,,0,1,6,6,0,0,1.0,0.5966666666666666,0.39962215423583985,0.18806395530700684
TLDUMMY-CSP-LASSO-ETC,"[0, 1, 6, 7, 0, 0]",TLDUMMY,CSP,LASSO,ETC,,,0,1,6,7,0,0,1.0,0.581111111111111,0.34223155975341796,0.18761847019195557
TLDUMMY-CSP-LASSO-ABC,"[0, 1, 6, 8, 0, 0]",TLDUMMY,CSP,LASSO,ABC,,,0,1,6,8,0,0,0.9153333333333332,0.5855555555555554,0.32936735153198243,0.17867443561553956
TLDUMMY-CSP-LASSO-GBC,"[0, 1, 6, 9, 0, 0]",TLDUMMY,CSP,LASSO,GBC,,,0,1,6,9,0,0,1.0,0.5755555555555555,0.37218570709228516,0.16803262233734131
TLDUMMY-CSP-LASSO-GNB,"[0, 1, 6, 10, 0, 0]",TLDUMMY,CSP,LASSO,GNB,,,0,1,6,10,0,0,0.7173333333333334,0.5888888888888888,0.23233458995819092,0.18986866474151612
TLDUMMY-CSP-LASSO-MLP,"[0, 1, 6, 11, 0, 0]",TLDUMMY,CSP,LASSO,MLP,,,0,1,6,11,0,0,0.8100000000000002,0.5911111111111111,0.4596067428588867,0.17838673591613768
TLDUMMY-CSP-RFE-SVM,"[0, 1, 7, 1, 0, 0]",TLDUMMY,CSP,RFE,SVM,,,0,1,7,1,0,0,0.792,0.6,0.23749220371246338,0.17700707912445068
TLDUMMY-CSP-RFE-LDA,"[0, 1, 7, 2, 0, 0]",TLDUMMY,CSP,RFE,LDA,,,0,1,7,2,0,0,0.7959999999999999,0.6055555555555554,0.24226176738739014,0.19996473789215088
TLDUMMY-CSP-RFE-LR,"[0, 1, 7, 3, 0, 0]",TLDUMMY,CSP,RFE,LR,,,0,1,7,3,0,0,0.7846666666666666,0.5933333333333334,0.23566243648529053,0.18294942378997803
TLDUMMY-CSP-RFE-KNN,"[0, 1, 7, 4, 0, 0]",TLDUMMY,CSP,RFE,KNN,,,0,1,7,4,0,0,0.8160000000000001,0.5855555555555554,0.2376929998397827,0.18239035606384277
TLDUMMY-CSP-RFE-DTC,"[0, 1, 7, 5, 0, 0]",TLDUMMY,CSP,RFE,DTC,,,0,1,7,5,0,0,1.0,0.5566666666666666,0.23544321060180665,0.17974939346313476
TLDUMMY-CSP-RFE-RFC,"[0, 1, 7, 6, 0, 0]",TLDUMMY,CSP,RFE,RFC,,,0,1,7,6,0,0,1.0,0.5955555555555556,0.4117328405380249,0.20420358180999756
TLDUMMY-CSP-RFE-ETC,"[0, 1, 7, 7, 0, 0]",TLDUMMY,CSP,RFE,ETC,,,0,1,7,7,0,0,1.0,0.6066666666666667,0.35288808345794676,0.18790943622589112
TLDUMMY-CSP-RFE-ABC,"[0, 1, 7, 8, 0, 0]",TLDUMMY,CSP,RFE,ABC,,,0,1,7,8,0,0,0.9346666666666668,0.5866666666666666,0.31024506092071535,0.19619123935699462
TLDUMMY-CSP-RFE-GBC,"[0, 1, 7, 9, 0, 0]",TLDUMMY,CSP,RFE,GBC,,,0,1,7,9,0,0,1.0,0.5855555555555555,0.3874358654022217,0.18939826488494874
TLDUMMY-CSP-RFE-GNB,"[0, 1, 7, 10, 0, 0]",TLDUMMY,CSP,RFE,GNB,,,0,1,7,10,0,0,0.706,0.5788888888888889,0.2308478593826294,0.17003633975982665
